Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C0603-ROUND",88.798800,-155.371600,0.000000,bottom
"C2","22UF-0805-6.3V-20%","0805",89.637000,-149.047000,-90.000000,bottom
"C3","100n","C0603-ROUND",77.572000,-126.568000,-90.000000,bottom
"C6","100n","C0603-ROUND",57.835800,-169.654100,90.000000,bottom
"C7","100n","C0603-ROUND",111.175800,-169.679500,90.000000,bottom
"D7","DIODE-SCHOTTKY-SS14","SMA-DIODE",86.208000,-176.106200,-90.000000,bottom
"IC3","7404D","SO14",84.430000,-138.252000,90.000000,bottom
"R6","10K","0603-RES",109.830800,-35.762800,180.000000,bottom
"R7","100","0603-RES",109.849400,-40.614200,0.000000,bottom
"R8","10K","0603-RES",96.994400,-35.762800,180.000000,bottom
"R9","100","0603-RES",97.054500,-40.614200,0.000000,bottom
"R10","10K","0603-RES",84.158000,-35.762800,180.000000,bottom
"R11","100","0603-RES",84.259600,-40.614200,0.000000,bottom
"R12","10K","0603-RES",71.321600,-35.762800,180.000000,bottom
"R13","100","0603-RES",71.464700,-40.614200,0.000000,bottom
"R14","10K","0603-RES",58.485200,-35.762800,180.000000,bottom
"R15","100","0603-RES",58.669800,-40.614200,0.000000,bottom
"R16","100OHM-0603-1/10W-1%","0603",111.696000,-149.682000,180.000000,bottom
"R17","1kOHM-0603-1/10W-1%","0603",58.014000,-148.412000,180.000000,bottom
"U2","QRE11131:1","QRE1113-1_1",59.665000,-25.145800,180.000000,bottom
"U3","TB6612FNG(O,C,8,EL","SOP65P760X160-24N",84.430000,-125.806000,-90.000000,bottom
"U5","QRE11131:1","QRE1113-1_1",72.180900,-25.145800,180.000000,bottom
"U6","QRE11131:1","QRE1113-1_1",84.696700,-25.145800,180.000000,bottom
"U7","QRE11131:1","QRE1113-1_1",97.212600,-25.145800,180.000000,bottom
"U8","QRE11131:1","QRE1113-1_1",109.728400,-25.145800,180.000000,bottom
