Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C0603-ROUND",96.825200,-157.090451,0.000000,bottom
"C2","22UF-0805-6.3V-20%","0805",97.663400,-150.765851,-90.000000,bottom
"C6","100n","C0603-ROUND",65.862200,-171.372951,90.000000,bottom
"C7","100n","C0603-ROUND",119.202200,-171.398351,90.000000,bottom
"D7","DIODE-SCHOTTKY-SS14","SMA-DIODE",94.234400,-177.825051,-90.000000,bottom
"IC3","7404D","SO14",92.456400,-131.140000,-90.000000,bottom
"R6","10K","0603-RES",117.857200,-50.239800,180.000000,bottom
"R7","100","0603-RES",117.875800,-55.091200,0.000000,bottom
"R8","10K","0603-RES",105.020800,-50.239800,180.000000,bottom
"R9","100","0603-RES",105.080900,-55.091200,0.000000,bottom
"R10","10K","0603-RES",92.184400,-50.239800,180.000000,bottom
"R11","100","0603-RES",92.286000,-55.091200,0.000000,bottom
"R12","10K","0603-RES",79.348000,-50.239800,180.000000,bottom
"R13","100","0603-RES",79.491100,-55.091200,0.000000,bottom
"R14","10K","0603-RES",66.511600,-50.239800,180.000000,bottom
"R15","100","0603-RES",66.696200,-55.091200,0.000000,bottom
"R16","100OHM-0603-1/10W-1%","0603",119.355000,-150.190000,180.000000,bottom
"R17","1kOHM-0603-1/10W-1%","0603",66.040400,-150.130851,180.000000,bottom
"U2","QRE11131:1","QRE1113-1_1",67.691400,-39.622800,180.000000,bottom
"U5","QRE11131:1","QRE1113-1_1",80.207300,-39.622800,180.000000,bottom
"U6","QRE11131:1","QRE1113-1_1",92.723100,-39.622800,180.000000,bottom
"U7","QRE11131:1","QRE1113-1_1",105.239000,-39.622800,180.000000,bottom
"U8","QRE11131:1","QRE1113-1_1",117.754800,-39.622800,180.000000,bottom
