Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C0603-ROUND,96.8252,-157.090451,0,bottom
C2,22UF-0805-6.3V-20%,0805,97.6634,-150.765851,-90,bottom
C6,100n,C0603-ROUND,65.8622,-171.372951,90,bottom
C7,100n,C0603-ROUND,119.2022,-171.398351,90,bottom
D7,DIODE-SCHOTTKY-SS14,SMA-DIODE,94.2344,-177.825051,-90,bottom
IC3,7404D,SO14,91.6436,-133.68,90,bottom
R6,10K,0603-RES,117.8572,-50.2398,180,bottom
R7,100,0603-RES,117.8758,-55.0912,0,bottom
R8,10K,0603-RES,105.0208,-50.2398,180,bottom
R9,100,0603-RES,105.0809,-55.0912,0,bottom
R10,10K,0603-RES,92.1844,-50.2398,180,bottom
R11,100,0603-RES,92.286,-55.0912,0,bottom
R12,10K,0603-RES,79.348,-50.2398,180,bottom
R13,100,0603-RES,79.4911,-55.0912,0,bottom
R14,10K,0603-RES,66.5116,-50.2398,180,bottom
R15,100,0603-RES,66.6962,-55.0912,0,bottom
R16,100OHM-0603-1/10W-1%,0603,119.355,-150.19,180,bottom
R17,1kOHM-0603-1/10W-1%,0603,66.0404,-150.130851,180,bottom
U2,QRE11131:1,QRE1113-1_1,67.6914,-39.6228,180,bottom
U5,QRE11131:1,QRE1113-1_1,80.2073,-39.6228,180,bottom
U6,QRE11131:1,QRE1113-1_1,92.7231,-39.6228,180,bottom
U7,QRE11131:1,QRE1113-1_1,105.239,-39.6228,180,bottom
U8,QRE11131:1,QRE1113-1_1,117.7548,-39.6228,180,bottom
ARDUINO_NANO1,ARDUINO_NANO,ARDUINO_NANO,92.4564,-164.786851,90,top
BATT0,CONN_02,1X02,94.1074,-172.736851,180,top
D1,LED-FKIT-1206,FKIT-LED-1206,117.6786,-35.5842,0,top
D2,LED-FKIT-1206,FKIT-LED-1206,105.1056,-35.5842,0,top
D3,LED-FKIT-1206,FKIT-LED-1206,92.5326,-35.5842,0,top
D4,LED-FKIT-1206,FKIT-LED-1206,79.9596,-35.5842,0,top
D5,LED-FKIT-1206,FKIT-LED-1206,67.3866,-35.5842,0,top
J1,455-1750-1-ND,1X03,131.0136,-129.455251,180,top
J2,455-1750-1-ND,1X03,59.9952,-129.633051,180,top
J3,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,88.6464,-46.557,90,top
LDR0,CONN_02,1X02,118.1104,-144.796851,0,top
M1A0,CONN_01,1X01,65.9384,-167.664551,0,top
M1B0,CONN_01,1X01,65.9384,-175.411551,0,top
M2A0,CONN_01,1X01,119.2784,-167.664551,0,top
M2B0,CONN_01,1X01,119.2784,-175.411551,0,top
R1,100OHM-0603-1/10W-1%,0603,117.9716,-42.4422,0,top
R2,100OHM-0603-1/10W-1%,0603,105.3068,-42.4422,0,top
R3,100OHM-0603-1/10W-1%,0603,92.6419,-42.4422,0,top
R4,100OHM-0603-1/10W-1%,0603,79.9771,-42.4422,0,top
R5,100OHM-0603-1/10W-1%,0603,67.3122,-42.4422,0,top
S2X0,EG1213,EG1213,92.5834,-186.198851,0,top
SW1,SW_Push,SW_PUSH_6mm,62.3344,-140.804851,0,top
U1,TB6612FNG,MODULE_ROB-14450,92.05,-131.775,0,top
