Ref,Val,Package,PosX,PosY,Rot,Side
"ARDUINO_NANO1","ARDUINO_NANO","ARDUINO_NANO",92.456400,-164.786851,90.000000,top
"BATT0","CONN_02","1X02",94.107400,-172.736851,180.000000,top
"D1","LED-FKIT-1206","FKIT-LED-1206",117.678600,-35.584200,0.000000,top
"D2","LED-FKIT-1206","FKIT-LED-1206",105.105600,-35.584200,0.000000,top
"D3","LED-FKIT-1206","FKIT-LED-1206",92.532600,-35.584200,0.000000,top
"D4","LED-FKIT-1206","FKIT-LED-1206",79.959600,-35.584200,0.000000,top
"D5","LED-FKIT-1206","FKIT-LED-1206",67.386600,-35.584200,0.000000,top
"J1","455-1750-1-ND","1X03",131.013600,-129.455251,180.000000,top
"J2","455-1750-1-ND","1X03",59.995200,-129.633051,180.000000,top
"J3","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",88.646400,-46.557000,90.000000,top
"LDR0","CONN_02","1X02",118.110400,-144.796851,0.000000,top
"M1A0","CONN_01","1X01",65.938400,-167.664551,0.000000,top
"M1B0","CONN_01","1X01",65.938400,-175.411551,0.000000,top
"M2A0","CONN_01","1X01",119.278400,-167.664551,0.000000,top
"M2B0","CONN_01","1X01",119.278400,-175.411551,0.000000,top
"R1","100OHM-0603-1/10W-1%","0603",117.971600,-42.442200,0.000000,top
"R2","100OHM-0603-1/10W-1%","0603",105.306800,-42.442200,0.000000,top
"R3","100OHM-0603-1/10W-1%","0603",92.641900,-42.442200,0.000000,top
"R4","100OHM-0603-1/10W-1%","0603",79.977100,-42.442200,0.000000,top
"R5","100OHM-0603-1/10W-1%","0603",67.312200,-42.442200,0.000000,top
"S2X0","EG1213","EG1213",92.583400,-186.198851,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm",62.334400,-140.804851,0.000000,top
"U1","TB6612FNG","MODULE_ROB-14450",92.050000,-133.045000,180.000000,top
