Comment,Type,Designator,Quantity,Size,Footprint,LCSC,Fabrication Process,Example Link
ARDUINO_NANO 15 Pin Female Connector,Connector,ARDUINO_NANO1,2,2.54 pitch,lekirbot:ARDUINO_NANO,,Soldering,https://shopee.com.my/2P-3P-6P-10P-14P-15P-16P-Pin-Way-2.54mm-Single-Double-Row-Straight-Female-Pin-Header-Strip-Copper-for-Arduino-TechMakers-i.55645224.15553589056?publish_id=&sp_atk=9a5c0e09-eb24-4c6a-acc3-e1975f1eb3af&xptdk=9a5c0e09-eb24-4c6a-acc3-e1975f1eb3af
CONN_02  2 pin Female,Connector,BATT0,1,2.54 pitch,lekirbot:1X02,,Soldering,https://shopee.com.my/SM-Connector-Wires-2P-2-Pins-(Male)-i.40459773.1470374548?sp_atk=846060e3-0155-4e95-bc7c-d7f9480e041d&xptdk=846060e3-0155-4e95-bc7c-d7f9480e041d
LDR,Connector,LDR0,1,,lekirbot:1X02,,Soldering,https://shopee.com.my/Light-Dependent-Resistor-LDR-Sunlight-Light-Sensitive-Resistance-Photo-Sensor-Photosensor-5528-GL5528-5mm-10K-20K-i.33091591.544257371?sp_atk=c97316e1-3219-460f-aec8-b1fd5e6d27b7&xptdk=c97316e1-3219-460f-aec8-b1fd5e6d27b7
100n,Capacitor,"C1,C6,C7",3,0603,lekirbot:C0603-ROUND,C57112,Soldering,https://shopee.com.my/100PCS-0603-SMD-Chip-Multilayer-Ceramic-Capacitor-330PF-22uF-1nF-10nF-15nF-100nF-0.1uF-1uF-2.2uF-4.7uF-10uF-i.1135937572.21395687476?sp_atk=730818ae-5a35-40df-8f71-0d7bf3fd3117&xptdk=730818ae-5a35-40df-8f71-0d7bf3fd3117
22UF-0805-6.3V-20%,Capacitor,C2,1,0805,lekirbot:0805,C77071,Soldering,https://shopee.com.my/100pcs-0805-SMD-Thick-Film-hjxrhgal-Chip-Multilayer-Ceramic-Capacitor-330PF-~-22UF-330PF-470PF-680PF-820PF-1NF-2NF-4.7NF-10NF-20NF-47NF-100NF-470NF-1UF-10UF-22UF-i.813551109.23735131985?sp_atk=e8e8c6e0-0eb9-4f55-8dcd-99e3d56560c5&xptdk=e8e8c6e0-0eb9-4f55-8dcd-99e3d56560c5
LED-FKIT-1206,LED,"D1,D2,D3,D4,D5",5,1206,lekirbot:FKIT-LED-1206,C375581,Soldering,https://shopee.com.my/100pcs-0603-0805-1206-3225-1210-smd-led-Red-Yellow-Green-White-Blue-Orange-light-emitting-diode-Water-Clear-LED-Light-Diode-Set-i.1157818305.25456780223?sp_atk=99b66c39-c85b-492a-946d-5a613d483b77&xptdk=99b66c39-c85b-492a-946d-5a613d483b77
DIODE-SCHOTTKY-SS14,Diode,D7,1,SS14,lekirbot:SMA-DIODE,C2837270,Soldering,https://shopee.com.my/SS14-SS16-SS24-SS32-SS34-SS36-SS54-SS56-SS110-SS210-SS310-SS510-SS220-10PCS-SMA-SMB-Schottky-Diodes-i.54052338.9961914767?sp_atk=3c06ce52-7f9a-4528-98e3-35239e58a525&xptdk=3c06ce52-7f9a-4528-98e3-35239e58a525
MountingHole,Hole,"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10",,,MountingHole:MountingHole_3.2mm_M3,,Soldering,
7404D,Inverter,IC3,1,SO14,lekirbot:SO14,C85311,Soldering,https://shopee.com.my/20PCS-74HC04D-SOP14-74HC04-SOP-SN74HC04DR-SMD-new-and-original-IC-i.54876748.23040831757?sp_atk=593eaa56-5801-4006-9ca5-18a4a622b5fc&xptdk=593eaa56-5801-4006-9ca5-18a4a622b5fc
CONN_3 3 pin Female,Connector,"J1,J2",2,2.54 pitch,lekirbot:1X03,,Soldering,https://shopee.com.my/2P-3P-6P-10P-14P-15P-16P-Pin-Way-2.54mm-Single-Double-Row-Straight-Female-Pin-Header-Strip-Copper-for-Arduino-TechMakers-i.55645224.15553589056?publish_id=&sp_atk=9a5c0e09-eb24-4c6a-acc3-e1975f1eb3af&xptdk=9a5c0e09-eb24-4c6a-acc3-e1975f1eb3af
