Designator,Footprint,Quantity,Value,LCSC Part #
ARDUINO_NANO1,ARDUINO_NANO,1,ARDUINO_NANO,
"BATT0, LDR0",1X02,2,CONN_02,
"C1, C6, C7",C0603-ROUND,3,100n,
C2,0805,1,22UF-0805-6.3V-20%,
"D1, D2, D3, D4, D5",FKIT-LED-1206,5,LED-FKIT-1206,
D7,SMA-DIODE,1,DIODE-SCHOTTKY-SS14,
"H1, H10, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3,10,MountingHole,
IC3,SO14,1,7404D,
"J1, J2",1X03,2,455-1750-1-ND,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"M1A0, M1B0, M2A0, M2B0",1X01,4,CONN_01,
"R1, R16, R2, R3, R4, R5",0603,6,100OHM-0603-1/10W-1%,
"R10, R12, R14, R6, R8",0603-RES,5,10K,
"R11, R13, R15, R7, R9",0603-RES,5,100,
R17,0603,1,1kOHM-0603-1/10W-1%,
S2X0,EG1213,1,EG1213,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,MODULE_ROB-14450,1,TB6612FNG,
"U2, U5, U6, U7, U8",QRE1113-1_1,5,QRE11131:1,
