Designator,Mid X,Mid Y,Rotation,Layer
ARDUINO_NANO1,92.4564,-167.3269,90.0,top
BATT0,92.8374,-172.7369,180.0,top
C1,96.8252,-157.0905,180.0,bottom
C2,97.6634,-150.7659,270.0,bottom
C6,65.8622,-171.373,90.0,bottom
C7,119.2022,-171.3984,90.0,bottom
D1,117.6786,-35.5842,0.0,top
D2,105.1056,-35.5842,0.0,top
D3,92.5326,-35.5842,0.0,top
D4,79.9596,-35.5842,0.0,top
D5,67.3866,-35.5842,0.0,top
D7,94.2344,-177.8251,270.0,bottom
IC3,91.6436,-133.68,90.0,bottom
J1,128.4736,-129.4553,180.0,top
J2,57.4552,-129.6331,180.0,top
J3,92.4464,-46.582,90.0,top
LDR0,119.3804,-144.7969,0.0,top
M1A0,65.9384,-167.6646,0.0,top
M1B0,65.9384,-175.4116,0.0,top
M2A0,119.2784,-167.6646,0.0,top
M2B0,119.2784,-175.4116,0.0,top
R1,117.9716,-42.4422,0.0,top
R10,92.1844,-50.2398,0.0,bottom
R11,92.286,-55.0912,180.0,bottom
R12,79.348,-50.2398,0.0,bottom
R13,79.4911,-55.0912,180.0,bottom
R14,66.5116,-50.2398,0.0,bottom
R15,66.6962,-55.0912,180.0,bottom
R16,119.355,-150.19,0.0,bottom
R17,66.0404,-150.1309,0.0,bottom
R2,105.3068,-42.4422,0.0,top
R3,92.6419,-42.4422,0.0,top
R4,79.9771,-42.4422,0.0,top
R5,67.3122,-42.4422,0.0,top
R6,117.8572,-50.2398,0.0,bottom
R7,117.8758,-55.0912,180.0,bottom
R8,105.0208,-50.2398,0.0,bottom
R9,105.0809,-55.0912,180.0,bottom
S2X0,92.5834,-186.1989,0.0,top
SW1,65.5844,-143.0549,0.0,top
U1,92.05,-133.045,180.0,top
U2,67.6914,-39.6228,0.0,bottom
U5,80.2073,-39.6228,0.0,bottom
U6,92.7231,-39.6228,0.0,bottom
U7,105.239,-39.6228,0.0,bottom
U8,117.7548,-39.6228,0.0,bottom
